片名, 票房(万元)
小美人鱼之大海怪传说,643.27
小美人鱼的奇幻冒险,1173.04
小花仙奇迹少女,534.24
小虎墩大英雄,2203.94
小行星猎人,232.67
小轿车,14.44
小镇夕阳,1.46
小镇故事多,3.10
小飞象,14771.06
小马宝莉：新世代,1694.26
小马鞭,879.66
小黄人大眼萌：神偷奶爸前传,23782.01
少女佳禾,777.58
少女宿舍,190.81
少年先锋,30.82
少年日记,100.09
少年有梦,5.00
少年桑吉,13.37
少年的你,155685.91
少年的我,7.54
少年英雄董存瑞,9.95
就爱断舍离,10.18
尺八·一声一世,336.74
尼斯大冒险,461.52
尼罗河上的惨案,6828.87
屋内有人,319.22
屋檐下,0.75
屋顶足球,96.67
山乡宁静,1.04
山歌,96.93
山海经之再见怪兽,3823.47
山海经之小人国,1385.28
山花绽放,5.79
山路十八湾,494.74
山里的梦,0.96
山雨云野,1.32
岁月在这儿,171.80
岭上花开,0.98
峰爆,43499.29
崖上人,1.06
崖上的波妞,2672.82
崮上情天,7.12
川流不“熄”,267.40
巡察,1.84
工作细胞：细胞大作战,758.92
巧克力和酥油花,21.47
巧虎大飞船历险记,2230.64
巧虎奇幻舞台历险记,648.64
巧虎魔法岛历险记,1320.99
巨星嫁到,373.94
巨鳄风暴,7442.35
巨齿鲨2：深渊,85124.57
差等生乔曦,64.13
巴比龙,137.18
布德之路,133.02
带你去见我妈,2310.50
带你归家,39.38
带彩球的帐篷,4.59
幕后人,51.69
平凡英雄,21544.78
平原上的夏洛克,681.30
平安中国之守护者,5322.38
平家物语：犬王,422.44
平教之路,9.78
平行森林,19.42
年会不能停！,124240.85
年少日记,1497.64
年少有你,21.38
幸福小马灯,30.42
幸福山歌,6.64
幸福慢车,1181.43
幸福是什么,18.49
幸福核桃,0.28
幸福的小满,137.33
幸福的模样,34.25
幸运电梯,66.11
幺妹住在十三寨,11.88
应承,105.57
废柴老爸,516.29
康熙与路易十四,180.42
廉政风云,12008.87
建筑师,5.39
开国宴风云,55.12
开国将帅授衔1955,541.65
开始而已,1280.27
开山人,2949.78
开心超人之时空营救,2566.88
开心超人之英雄的心,1032.61
异人之下,11843.77
异兽,572.59
异形：夺命舰,78510.33
张之洞,1.02
归去来兮,0.96
归路,17.61
当我们海阔天空,188.00
当男人恋爱时,26353.38
形意英雄,4.00
彩虹之上,120.60
彷徨之刃,8896.86
往事如昨,7.45
征程之星火,58.41
征迁,5.77
很有态度,10.94
很高兴遇见·你,43.90
徒手攀岩,3569.05
微信奇缘,8.97
德鲁大叔,1209.07
心之山,2.10
心想念动,4.42
心愿房间,9.10
心灵奇旅,37434.14
心的温度,58.04
忍者神龟：变种大乱斗,949.21
忍者神龟：崛起,389.77
志愿军：雄兵出击,82691.84
忠爱无言2,80.80
忠犬八公,28614.79
忠犬帕尔玛,675.19
忠犬流浪记,682.01
快乐密码,1.88
念念相忘,7622.13
怒吼,84.34
怒潮,20866.95
怒火·重案,130182.02
思念爱,7.16
急先锋,29274.29
急速逃脱,444.45
怨偶铠甲,209.48
怪物猎人,3324.33
怪癖英雄,13.09
怯懦的勇气,1.27
恋恋不舍,74.47
恐婚：逃跑计划,6.96
恐龙飞车,84.51
恶世之子,17.76
悟·空,31.12
悟空奇遇记,1885.37
悠悠乡戏,1.09
悠然见南山,163.44
您好，北京,5030.23
悬崖,31.78
悬崖下72小时,21.51
悬崖之上,117172.21
情与债,9.96
情定红海滩,6.85
情满茶香,0.96
惊天救援,3896.09
惊奇队长,101964.04
惊奇队长2,10845.73
惊心妒怨,119.62
惊涛迷局,64.95
想见你,38485.39
意外人生,422.28
感动她77次,3205.66
愤怒的小鸟2,13663.15
慈善玩家,3.56
慧能前传,15.82
憨兔的奇幻之旅,316.34
戏,38.88
戏是人生,2.44
戏杀,721.04
戏笑江湖,39.01
我不是天才,21.45
我不是葫芦瓢,100.28
我世界里的你,19.28
我为你喝彩,668.98
我为你牺牲,24645.11
我们一起摇太阳,14325.52
我们回家吧,1.87
我们是第一书记,300.47
我们正年轻,1.64
我们永远是我们,12.51
我们的七月,2.55
我们的冬奥,6417.02
我们的岁月,148.76
我们的样子像极了爱情,1489.05
我们的爱情,77.17
我叫为何,10.68
我叫李广安,1.48
我向星星许个愿,1.44
我和妈妈的最后一年,97.61
我和我的家乡,282260.37
我和我的小伙伴们,31.14
我和我的父辈,144964.67
我和我的祖国,307829.72
我和班主任的故事,24.41
我在原地等你,74.65
我在时间尽头等你,50428.01
我在汴京等你,2.56
我在社区当片儿警,1.86
我在耀瓷小镇等你,720.19
我就是那大侠,11.96
我心向上,0.18
我心飞扬,617.80
我想吃掉你的胰脏,2383.64
我想和你在一起,17.32
我才不要和你做朋友呢,17428.38
我是刑警王,34.08
我是周浩然,22.09
我是哪吒2之英雄归来,1751.12
我是监护人,383.63
我是真的讨厌异地恋,16508.58
我是车手,2.88
我是霸王龙,3263.77
我本少年,6.92
我本是高山,8072.42
我没有失踪,7.28
我没谈完的那场恋爱,5006.56
我爱你！,41575.63
我爸没说的那件事,407.53
我的三平方,46.01
我的体育老师,125.56
我的初恋十八岁,0.01
我的合唱团,1.38
我的启蒙老师,5.64
我的嘟卡弟弟,124.69
我的女友是机器人,4078.91
我的姐妹是网红之追梦花,18.17
我的姐姐,85952.61
我的宠物是大象,254.47
我的心里住着一只猫,13.40
我的拳王男友,2450.21
我的村我的家,15.09
我的游戏情人,23.97
我的父亲焦裕禄,1806.38
我的爷爷,253.91
我的爸爸是森林之王2,1081.51
我的爸爸是齐天大圣,5.28
我的男友是辅警,1.04
我的船长老师,5.93
我的英雄,43.50
我的英雄学院：两位英雄,3865.50
我的遗憾和你有关,3283.79
我的青春有个你,6218.46
我的青春都是你,1487.69
我的青海,14.64
我的非凡父母,534.90
我经过风暴,17165.41
我要和你在一起,464.11
我要当老师,1121.84
我要我们在一起,32596.68
我谈的那场恋爱,597.98
我，就是风!,828.75
战俘拳王,11.56
战斗民族养成记,725.55
战斧行动,4.12
战旗飘飘,28.54
战歌行,18.16
戴假发的人,421.01
打过长江去,2204.94
托马斯大电影之世界探险记,1826.62
执笔为刀,52.01
扫毒2：天地对决,129579.53
扫毒3：人在天涯,28185.53
扫黑·决不放弃,15421.75
扫黑·决战,40124.31
扫黑行动,17465.19
扬名立万,92303.47
扶贫主任,8.45
扶贫路上,1.48
把哥哥退货可以吗,174.55
抓娃娃,281012.96
抗战中的文艺（舞台纪录片 话剧）,15.37
折腾出来的金窝窝,3.40
抢花炮,4.34
抵达之谜,2535.58
拆弹专家2,130749.04
拨浪鼓咚咚响,148.63
拯救嫌疑人,50055.32
拯救甜甜圈：时空大营救,3744.85
拿摩一等,14.31
拿破仑,2789.81
指尖世界,14.05
指引,5.87
指挥家,132.65
挑战,353.13
捉妖学院,3.75
捞世界,32.92
排球少年!! 垃圾场决战,12860.37
掠食城市,5040.54
探寻外太空生命,3.67
探探猫人鱼公主,275.38
掬水月在手,759.11
搏击者,4.45
搜救,1396.98
搞怪奇妙夜,11.04
搭秋千的人,2.42
摇摆神探,22.20
摇滚吧！老爸,6.06
摇滚少年之全民乐队,8.01
摇滚藏獒：乘风破浪,147.34
摇滚藏獒：蓝色光芒,184.35
撞死了一只羊,988.43
攀登者,105072.87
故乡异客,12.22
故园飘梦,41.24
教授与疯子,271.65
敢死队4：最终章,15629.86
散养时代,2.33
